                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3756,                 3.4469,                 1.2512,                0.00184,                0.51937,                0.10152,                0.06053,                 1.0427,                 3.6355,                 1.0459,             0.00054574,             0.00054574,             0.00054574
                      2,                 1.2068,                 2.3261,                 1.1295,                0.42423,                0.62927,                0.43534,                 0.3035,                 1.1437,                 2.3247,                 1.1144,              0.0010905,              0.0010905,              0.0010905
                      3,                 1.2381,                  2.121,                 1.1493,                0.39871,                0.69074,                 0.4209,                0.26913,                 1.2101,                 2.0001,                 1.1428,              0.0016243,              0.0016243,              0.0016243
                      4,                 1.2227,                  1.826,                 1.1492,                0.42216,                0.73171,                0.43801,                0.29232,                 1.1864,                 2.0052,                 1.1189,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1963,                 1.6099,                 1.1363,                0.45825,                0.73022,                0.47462,                0.32284,                 1.1671,                  1.571,                 1.1455,               0.001601,               0.001601,               0.001601
                      6,                 1.1547,                  1.473,                 1.1074,                0.44357,                 0.7497,                0.45932,                0.33126,                 1.0198,                 1.4311,                 1.0691,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1676,                 1.4187,                 1.1089,                0.45554,                0.78892,                0.46424,                0.32864,                 1.0684,                 1.3802,                 1.0901,               0.001568,               0.001568,               0.001568
                      8,                 1.1373,                 1.3632,                 1.1115,                0.45559,                0.80361,                0.49314,                0.34774,                 1.0975,                 1.2183,                  1.053,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1217,                 1.3065,                 1.1128,                0.45321,                0.77291,                  0.489,                0.35538,                 1.0299,                 1.2248,                 1.0462,               0.001535,               0.001535,               0.001535
                     10,                 1.0771,                 1.2675,                 1.0776,                0.44375,                0.82389,                 0.4877,                0.34333,                 1.0389,                 1.2935,                 1.0689,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0784,                 1.2514,                 1.0725,                0.42035,                 0.8368,                0.45566,                0.32261,                 1.0165,                 1.2426,                 1.0418,               0.001502,               0.001502,               0.001502
                     12,                 1.0923,                 1.2286,                 1.0935,                0.45355,                0.77918,                0.45488,                0.31573,                 1.1281,                 1.4602,                 1.1049,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0426,                  1.199,                 1.0737,                 0.4393,                0.86162,                0.45288,                0.32408,                 1.0411,                 1.3269,                 1.0411,               0.001469,               0.001469,               0.001469
                     14,                 1.0589,                 1.1846,                 1.0777,                0.40846,                0.82869,                0.44016,                0.31096,                 1.0111,                 1.3338,                 1.0469,              0.0014525,              0.0014525,              0.0014525
                     15,                  1.041,                 1.1794,                 1.0731,                0.46569,                0.84912,                 0.4823,                0.34828,                  1.031,                 1.1562,                 1.0527,               0.001436,               0.001436,               0.001436
                     16,                 1.0155,                 1.1449,                 1.0567,                0.40133,                0.79036,                0.45297,                0.31748,                 1.0548,                 1.6245,                 1.0662,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.0137,                 1.1412,                 1.0579,                0.42765,                0.81915,                0.43022,                0.30308,                 1.0595,                 1.3683,                 1.0687,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0143,                 1.1065,                 1.0426,                0.44585,                0.85179,                0.45702,                0.32584,                0.99291,                 1.4121,                 1.0311,              0.0013864,              0.0013864,              0.0013864
                     19,                0.98948,                 1.1202,                  1.033,                0.44866,                0.84987,                0.43718,                0.30965,                0.99367,                 1.2386,                  1.027,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.0528,                 1.1456,                 1.0769,                0.40536,                0.79934,                0.43359,                0.30814,                  1.064,                 1.6056,                 1.0728,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.0365,                 1.0836,                 1.0608,                0.39876,                0.81703,                0.41972,                0.29947,                0.97458,                 1.3883,                  1.033,              0.0013369,              0.0013369,              0.0013369
